year,community_area,sex,age
2024,UPTOWN,UNKNOWN,UNKNOWN
2024,GRAND BOULEVARD,M,20-29
2024,WEST GARFIELD PARK,M,20-29
2024,ENGLEWOOD,M,0-19
2024,CHICAGO LAWN,M,30-39
2024,WEST ENGLEWOOD,M,0-19
2024,GREATER GRAND CROSSING,M,40-49
2024,ROSELAND,UNKNOWN,UNKNOWN
2024,WEST PULLMAN,M,0-19
2024,NEW CITY,M,0-19
2024,ROSELAND,M,30-39
2024,SOUTH LAWNDALE,M,30-39
2024,SOUTH LAWNDALE,M,30-39
2024,SOUTH LAWNDALE,M,40-49
2024,SOUTH LAWNDALE,M,30-39
2024,SOUTH LAWNDALE,M,50-59
2024,SOUTH LAWNDALE,M,30-39
2024,SOUTH LAWNDALE,M,30-39
2024,SOUTH SHORE,M,30-39
2024,AUSTIN,M,50-59
2024,AUSTIN,M,40-49
2024,AUBURN GRESHAM,M,30-39
2024,NEW CITY,M,40-49
2024,ROSELAND,M,20-29
2024,ROSELAND,M,20-29
2024,AVALON PARK,F,40-49
2024,AVALON PARK,M,30-39
2024,WASHINGTON PARK,M,20-29
2024,SOUTH LAWNDALE,M,30-39
2024,SOUTH LAWNDALE,M,0-19
2024,NORTH LAWNDALE,F,40-49
2024,ENGLEWOOD,M,30-39
2024,ENGLEWOOD,M,30-39
2024,ENGLEWOOD,M,20-29
2024,GAGE PARK,M,40-49
2024,ROGERS PARK,M,0-19
2024,CHATHAM,M,30-39
2024,AUBURN GRESHAM,M,60-69
2024,WEST PULLMAN,M,30-39
2024,WEST GARFIELD PARK,M,20-29
2024,ENGLEWOOD,M,40-49
2024,EAST SIDE,M,40-49
2024,EAST SIDE,M,40-49
2024,SOUTH SHORE,F,40-49
2024,ARCHER HEIGHTS,M,30-39
2024,ARCHER HEIGHTS,M,50-59
2024,AUSTIN,F,20-29
2024,AUSTIN,M,20-29
2024,NEAR WEST SIDE,F,30-39
2024,NEAR WEST SIDE,M,30-39
2024,WEST ENGLEWOOD,M,60-69
